song_id,name,time,band_id,album_id
1,The Getaway,04:10:00,2,1
2,Dark Necessities,05:02:00,2,1
3,We Turn Red,03:20:00,2,1
4,The Longest Wave,03:31:00,2,1
5,Goodbye Angels,04:29:00,2,1
6,Sick Love,03:41:00,2,1
7,Go Robot,04:24:00,2,1
8,Feasting on the Flowers,03:23:00,2,1
9,Detroit,03:47:00,2,1
10,This Ticonderoga,03:35:00,2,1
11,Encore,04:11:00,2,1
12,The Hunter,04:00:00,2,1
13,Dreams of a Samurai,06:09:00,2,1
14,Reckless Life,03:21:00,1,2
15,Nice Boys,03:02:00,1,2
16,Move to the City,03:34:00,1,2
17,Mama Kin,03:41:00,1,2
18,Shadow of Your Love,03:03:00,1,2
19,You're Crazy,04:25:00,1,2
20,Patience,05:54:00,1,2
21,Used to Love Her,03:13:00,1,2
22,You're Crazy,04:10:00,1,2
23,It's So Easy,03:54:00,1,2
24,Knockin' on Heaven's Door,04:59:00,1,2
25,Whole Lotta Rosie,04:06:00,1,2
26,Blackened,06:41:00,7,3
27,...And Justice for All,09:47:00,7,3
28,Eye of the Beholder,06:30:00,7,3
29,One,07:27:00,7,3
30,The Shortest Straw,06:36:00,7,3
31,Harvester of Sorrow,05:46:00,7,3
32,The Frayed Ends of Sanity,07:44:00,7,3
33,To Live Is to Die,09:49:00,7,3
34,Dyers Eve,05:13:00,7,3
35,Live and Let Die,03:04:00,1,4
36,Don't Cry,04:44:00,1,4
37,You Ain't the First,02:36:00,1,4
38,November Rain,08:57:00,1,4
39,The Garden,05:22:00,1,4
40,Dead Horse,04:17:00,1,4
41,Civil War,07:42:00,1,4
42,14 Years,04:21:00,1,4
43,Yesterdays,03:16:00,1,4
44,Knockin' on Heaven's Door,05:20:00,1,4
45,Estranged,09:23:00,1,4
46,Don't Cry,04:43:00,1,4
47,Blitzkrieg Bop,02:12:00,3,5
48,Beat on the Brat,02:30:00,3,5
49,Judy Is a Punk,01:30:00,3,5
50,I Wanna Be Your Boyfriend,02:24:00,3,5
51,Chain Saw,01:55:00,3,5
52,Now I Wanna Sniff Some Glue,01:34:00,3,5
53,I Don't Wanna Go Down to the Basement,02:35:00,3,5
54,L.A.M.F.,01:23:00,5,6
55,Face Down in the Dirt,03:44:00,5,6
56,What's It Gonna Take,03:45:00,5,6
57,Down at the Whisky,03:50:00,5,6
58,Saints of Los Angeles,03:40:00,5,6
59,Mutherfucker of the Year,03:55:00,5,6
60,The Animal in Me,04:16:00,5,6
61,Welcome to the Machine,03:00:00,5,6
62,Just Another Psycho,03:36:00,5,6
63,Chicks = Trouble,03:13:00,5,6
64,This Ain't a Love Song,03:25:00,5,6
65,White Trash Circus,02:51:00,5,6
66,Goin' Out Swingin',03:27:00,5,6
67,Bombtrack,04:04:00,6,7
68,Killing in the Name,05:14:00,6,7
69,Take the Power Back,05:37:00,6,7
70,Settle for Nothing,04:48:00,6,7
71,Bullet in the Head,05:07:00,6,7
72,Know Your Enemy,04:55:00,6,7
73,Wake Up,06:04:00,6,7
74,Fistful of Steel,05:31:00,6,7
75,Township Rebellion,05:24:00,6,7
76,Freedom,06:06:00,6,7
